,item_id,NP,Oblig,Error,ErType,ErType2,definiteness,ref,Hawkins,HeadN,Abstract,Rev_abstr,modif,Score,Target_the,Target_zero,NL_Korean,NL_Mandarin,NL_Russian,Ntype_plural,Ntype_sing,Synt_obj,Synt_predprop,Synt_sub
2355,2356,"If I were them , I would make complaint in English , anyway .",obl,error,omit_a,omit,indef,nonspec,indef,complaint,abstr,abstr,no_mod,0,False,False,False,False,False,False,True,True,False,False
2357,2358,"tears showing that I am weak , I never willing other people find my tears .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,tears,concr,concr,no_mod,1,False,True,False,True,False,True,False,False,False,True
2359,2360,so these unhappy things also would lose toghter with time .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,time,concr,concr,no_mod,1,False,True,False,True,False,False,True,True,False,False
2360,2361,"Today , we had VERY long meeting . . .",obl,error,omit_a,omit,indef,spec,indef,meeting,concr,concr,mod,0,False,False,False,False,False,False,True,True,False,False
2361,2362,"After that , I tried to fix bug on my software .",obl,error,omit_a,omit,indef,spec,indef,bug,concr,concr,no_mod,0,False,False,False,False,False,False,False,True,False,False
2363,2364,I googled 3 or 4 hours and finally I could fix the bug ! !,obl,correct,correct_the,correct_art,def,spec,situational,bug,concr,concr,no_mod,1,True,False,False,False,False,False,False,True,False,False
2364,2365,"It seems that there is no Japanese Information about the bug , so If I can have time , I write an article about that .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,time,concr,concr,no_mod,1,False,True,False,False,False,False,True,True,False,False
2365,2366,"It seems that there is no Japanese Information about the bug , so If I can have time , I write an article about that .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,article,concr,concr,no_mod,1,False,True,False,False,False,False,True,True,False,False
2366,2367,We live a regular life using clocks .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,clocks,concr,concr,no_mod,1,False,True,False,False,False,False,False,True,False,False
2371,2372,But I often dream the life without clocks .,obl,error,sub_the_inst_a,error_art,def,nonspec,explanatory,life,abstr,abstr,no_mod,0,False,False,False,False,False,False,True,True,False,False
2372,2373,But I often dream the life without clocks .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,clocks,concr,concr,no_mod,1,False,True,False,False,False,False,False,True,False,False
2377,2378,"By the way , Is there the drill that assumes earthquake ?",obl,correct,correct_the,correct_art,def,spec,explanatory,drill,concr,concr,no_mod,1,True,False,False,False,False,False,True,False,False,True
2378,2379,"If there are mistakes in my sentence , please tell me .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,mistakes,abstr,abstr,no_mod,1,False,True,False,False,False,True,False,False,False,True
2385,2386,All most of Japanese people are changing there 's dress for the season in Octorber .,obl,correct,correct_the,correct_art,def,nonspec,indef,season,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
2390,2391,"Since friday , whenever I turned on A / C , some weird and loud noise came from the front part of the car where an engine is located .",obl,correct,correct_the,correct_art,def,spec,situational,part,abstr,abstr,mod,1,True,False,True,False,False,False,True,True,False,False
2391,2392,"But , I still could hear very interrupting and worrying noise from A / C .",obl,error,omit_a,omit,indef,spec,indef,noise,concr,concr,no_mod,0,False,False,True,False,False,False,True,True,False,False
2393,2394,"I will post a picture of Spot tomorrow with some writing , yet , right now , I 'm so tired and want to go sleep .",obl,correct,correct_a,correct_art,indef,spec,indef,picture,concr,concr,no_mod,1,False,False,True,False,False,False,True,True,False,False
2396,2397,I decide to go on a diet .,obl,correct,correct_a,correct_art,indef,nonspec,indef,diet,concr,concr,no_mod,1,False,False,True,False,False,False,False,True,False,False
2397,2398,"I went to GuangZhou a few days ago , intro some kind of dimsum for a ShangHai friend .",obl,correct,correct_a,correct_art,indef,spec,indef,friend,concr,concr,no_mod,1,False,False,False,True,False,False,True,True,False,False
2401,2402,I was shy and could n't find the reason to talk with her .,obl,error,sub_the_inst_a,error_art,def,spec,explanatory,reason,abstr,abstr,no_mod,0,False,False,False,False,False,False,True,True,False,False
2402,2403,My boyfriend and I are going to a shrine to pray for our health of this year .,obl,correct,correct_a,correct_art,indef,spec,indef,shrine,concr,concr,no_mod,1,False,False,False,False,False,False,True,True,False,False
2403,2404,We are spending a very relaxing time in our holiday .,obl,correct,correct_a,correct_art,indef,nonspec,indef,time,concr,concr,mod,1,False,False,False,False,False,False,True,True,False,False
2406,2407,I get a part of our saves to stock market .,obl,error,omit_the,omit,indef,spec,situational,market,concr,concr,no_mod,0,True,False,False,True,False,False,True,True,False,False
2407,2408,"so , if I have free times I concern stock market information .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,times,abstr,abstr,mod,1,False,True,False,True,False,True,False,True,False,False
2408,2409,"so , if I have free times I concern stock market information .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,information,abstr,abstr,no_mod,1,False,True,False,True,False,False,True,True,False,False
2411,2412,I think a defination of adult is different in the world .,obl,correct,correct_the,correct_art,def,spec,situational,world,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
2425,2426,"But now , after exams I must have some fresh highland air .",obl,error,omit_the,omit,indef,spec,indef,exams,concr,concr,no_mod,0,True,False,False,False,True,True,False,True,False,False
2427,2428,"There is a ski resort in my town , but to my regret I have got to know about it at last year .",obl,correct,correct_a,correct_art,indef,spec,indef,resort,concr,concr,no_mod,1,False,False,False,False,True,False,True,False,False,True
2430,2431,"Well , I wait for the end of this month and for good weather now .",obl,correct,correct_the,correct_art,def,spec,explanatory,end,abstr,abstr,no_mod,1,True,False,False,False,True,False,True,True,False,False
2448,2449,"When some bullies walked up to him to bully him yesterday , he suddenly defeated the boss of them by a punch in his stomach .",obl_om,correct,correct_zero,correct_om,indef,spec,indef,bullies,concr,concr,no_mod,1,False,True,False,False,False,True,False,False,False,True
2449,2450,"When some bullies walked up to him to bully him yesterday , he suddenly defeated the boss of them by a punch in his stomach .",obl,correct,correct_the,correct_art,def,spec,explanatory,boss,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
2450,2451,"When some bullies walked up to him to bully him yesterday , he suddenly defeated the boss of them by a punch in his stomach .",obl,correct,correct_a,correct_art,indef,spec,indef,punch,concr,concr,no_mod,1,False,False,False,False,False,False,True,True,False,False
2451,2452,I thought that my son got the piece school life for a while .,obl,error,sub_the_inst_a,error_art,def,spec,situational,life,abstr,abstr,no_mod,0,False,False,False,False,False,False,True,True,False,False
2454,2455,Maybe final test is coming soon .,obl,error,omit_the,omit,def,spec,indef,test,concr,concr,mod,0,True,False,True,False,False,False,True,False,False,True
2456,2457,Riding motorcycle was not as scary as I thought .,obl,error,omit_a,omit,indef,nonspec,indef,motorcycle,concr,concr,no_mod,0,False,False,False,False,False,False,True,True,False,False
2470,2471,It seems like the summer is back .,obl_om,error,over_the,over,def,spec,situational,summer,concr,concr,no_mod,0,False,True,False,False,False,False,True,False,False,True
2471,2472,The temperature in the daytime is more than 30 degrees .,obl,correct,correct_the,correct_art,def,spec,situational,temperature,concr,concr,no_mod,1,True,False,False,False,False,False,True,False,False,True
2473,2474,"However , it is cooler in the morning and evening with pleasant autumn breeze .",obl,error,omit_a,omit,indef,spec,indef,breeze,concr,concr,mod,0,False,False,False,False,False,False,False,True,False,False
2474,2475,We also feel pleasant breeze in the shade even in the daytime .,obl,error,omit_a,omit,indef,nonspec,indef,breeze,concr,concr,mod,0,False,False,False,False,False,False,False,True,False,False
2475,2476,We also feel pleasant breeze in the shade even in the daytime .,obl,correct,correct_the,correct_art,def,nonspec,situational,shade,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
2480,2481,Actually the checkpoint I saw yesterday was that for 80 km .,obl,correct,correct_the,correct_art,def,spec,situational,checkpoint,concr,concr,no_mod,1,True,False,False,False,False,False,False,False,False,True
2482,2483,as they might fear the nuclear crisis and aftershock of the 3 . 11 earthquake .,obl,correct,correct_the,correct_art,def,spec,situational,crisis,abstr,abstr,mod,1,True,False,False,False,False,False,True,True,False,False
2488,2489,I enjoy school festival from October 9th to 11th .,obl,error,omit_the,omit,indef,spec,indef,festival,abstr,abstr,no_mod,0,True,False,False,False,False,False,True,True,False,False
2491,2492,"There is a concert , and I play the Trombone .",obl,correct,correct_a,correct_art,indef,spec,indef,concert,abstr,abstr,no_mod,1,False,False,False,False,False,False,True,False,False,True
2495,2496,Today I had a English meeting with three representatives of our company customers .,obl_om,error,over_a,over,indef,spec,indef,meeting,concr,concr,mod,0,False,True,False,False,False,False,True,True,False,False
2501,2502,I was a little bit nervous yesterday so called my mom to ask her the points I have to keep in mind in the business meeting in English .,obl,correct,correct_the,correct_art,def,spec,situational,meeting,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
2502,2503,"Most Japanese do n't understand the basic concept of `` shake hands , `` She said .",obl,correct,correct_the,correct_art,def,spec,explanatory,concept,abstr,abstr,mod,1,True,False,False,False,False,False,True,True,False,False
2503,2504,Huge earthquake and tsunami have attacked my prefecture,obl,error,omit_a,omit,indef,spec,indef,earthquake,abstr,abstr,mod,0,False,False,False,False,False,False,True,False,False,True
2505,2506,So it is inconvenient to get the precise information .,obl_om,error,over_the,over,def,nonspec,situational,information,abstr,abstr,mod,0,False,True,False,False,False,False,True,True,False,False
2506,2507,I went for a drink with my colleague and watched a BBC program .,obl,correct,correct_a,correct_art,indef,spec,indef,drink,concr,concr,no_mod,1,False,False,False,False,False,False,True,True,False,False
2507,2508,I went for a drink with my colleague and watched a BBC program .,obl,error,sub_a_inst_the,error_art,indef,spec,indef,program,concr,concr,no_mod,0,True,False,False,False,False,False,True,True,False,False
2509,2510,"Large amount of cars , houses , people had floated .",obl,error,omit_a,omit,def,spec,indef,amount,abstr,abstr,mod,0,False,False,False,False,False,False,True,False,False,True
2510,2511,Walls and signboards had fell .,obl_om,correct,correct_zero,correct_om,indef,spec,situational,Walls,concr,concr,no_mod,1,False,True,False,False,False,False,False,False,False,True
2511,2512,"The worth things , the focus of the earthquake is near my house .",obl,correct,correct_the,correct_art,def,spec,explanatory,focus,abstr,abstr,no_mod,1,True,False,False,False,False,False,False,False,False,True
2515,2516,the damage of nuclear is so terrible .,obl_om,error,over_the,over,def,spec,explanatory,damage,abstr,abstr,no_mod,0,False,True,False,False,False,False,False,False,False,True
2516,2517,Today I got a phone call that Mrs huang asks me to interview in her company .,obl,correct,correct_a,correct_art,indef,spec,indef,call,concr,concr,no_mod,1,False,False,False,True,False,False,True,True,False,False
2520,2521,Dormitory have curfew .,obl,error,omit_a,omit,indef,nonspec,indef,curfew,abstr,abstr,no_mod,0,False,False,True,False,False,False,False,True,False,False
2521,2522,"So even If I ` m hungry , I don ` t go to a supermarket to buy food .",obl,correct,correct_a,correct_art,indef,nonspec,indef,supermarket,concr,concr,no_mod,1,False,False,True,False,False,False,True,True,False,False
2522,2523,"So even If I ` m hungry , I don ` t go to a supermarket to buy food .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,food,concr,concr,no_mod,1,False,True,True,False,False,False,False,True,False,False
2523,2524,We went to toboggan to the hill in my neighborhood .,obl,error,sub_the_inst_a,error_art,def,spec,explanatory,hill,concr,concr,no_mod,0,False,False,False,False,False,False,True,True,False,False
2525,2526,The speed is outrageous .,obl,correct,correct_the,correct_art,def,spec,situational,speed,concr,concr,no_mod,1,True,False,False,False,False,False,False,False,False,True
2526,2527,I actually stroke on a children .,obl,correct,correct_a,correct_art,indef,nonspec,indef,child,concr,concr,no_mod,1,False,False,False,False,False,False,True,True,False,False
2527,2528,I admired children because they have no fear .,obl,error,omit_the,omit,indef,nonspec,indef,children,concr,concr,no_mod,0,True,False,False,False,False,False,False,True,False,False
2530,2531,"Because ensemble requires cooperation , listening to other is very important .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,cooperation,abstr,abstr,no_mod,1,False,True,False,False,False,False,False,True,False,False
2531,2532,It also applies to daily conversations .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,conversations,abstr,abstr,mod,1,False,True,False,False,False,False,False,True,False,False
2538,2539,I read the book of movie quotes ( interesting ),obl,correct,correct_the,correct_art,def,spec,explanatory,book,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
2539,2540,"As you know , economy situation is getting worse especially car industry including US and Korea .",obl,error,omit_the,omit,def,spec,situational,situation,abstr,abstr,no_mod,0,True,False,True,False,False,False,True,False,False,True
2540,2541,I have to save money if buy a car . . . ^ ^,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,money,concr,concr,no_mod,1,False,True,True,False,False,False,True,True,False,False
2541,2542,I have to save money if buy a car . . . ^ ^,obl,correct,correct_a,correct_art,indef,nonspec,indef,car,concr,concr,no_mod,1,False,False,True,False,False,False,True,True,False,False
2542,2543,I 'll try to write a diary and correct a someone 's diary everyday .,obl,correct,correct_a,correct_art,indef,nonspec,indef,diary,abstr,abstr,no_mod,1,False,False,False,False,False,False,True,True,False,False
2543,2544,The access speed is very critical for an SNS and I really appreciate the effort which the staff has made so far .,obl_om,error,over_the,over,def,spec,situational,speed,concr,concr,no_mod,0,False,True,False,False,False,False,False,False,False,True
2544,2545,The access speed is very critical for an SNS and I really appreciate the effort which the staff has made so far .,obl,correct,correct_the,correct_art,def,spec,explanatory,effort,abstr,abstr,no_mod,1,True,False,False,False,False,False,True,True,False,False
2545,2546,The access speed is very critical for an SNS and I really appreciate the effort which the staff has made so far .,obl,correct,correct_the,correct_art,def,spec,situational,staff,concr,concr,no_mod,1,True,False,False,False,False,False,False,False,False,True
2549,2550,"People say I 'm making a big progress , but I do n't think so .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,People,concr,concr,no_mod,1,False,True,False,False,True,False,False,False,False,True
2550,2551,"People say I 'm making a big progress , but I do n't think so .",obl_om,error,over_a,over,indef,nonspec,indef,progress,abstr,abstr,mod,0,False,True,False,False,True,False,False,True,False,False
2551,2552,"I often talk to native speakers , but as a matter of fact , I do n't understand them too much .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,speakers,concr,concr,mod,1,False,True,False,False,True,True,False,True,False,False
2556,2557,I do n't like this season because it is difficult to go out at a rainy day .,obl,correct,correct_a,correct_art,indef,nonspec,indef,day,concr,concr,mod,1,False,False,False,False,False,False,True,True,False,False
2558,2559,But you can see beautiful hydrangea at the rainy season in Japan .,obl,correct,correct_the,correct_art,def,spec,indef,season,concr,concr,mod,1,True,False,False,False,False,False,True,True,False,False
2563,2564,That shop always put a flower in a big vase .,obl_om,error,over_a,over,indef,nonspec,indef,flower,concr,concr,no_mod,0,False,True,False,False,False,False,True,True,False,False
2564,2565,That shop always put a flower in a big vase .,obl,correct,correct_a,correct_art,indef,nonspec,indef,vase,concr,concr,mod,1,False,False,False,False,False,False,False,True,False,False
2567,2568,"She smiled in agreement , and sipped the hot coffee .",obl_om,error,over_the,over,indef,spec,situational,coffee,concr,concr,mod,0,False,True,False,False,False,False,False,True,False,False
2571,2572,I bought a clock and hairdry .,obl,correct,correct_a,correct_art,indef,spec,indef,clock,concr,concr,no_mod,1,False,False,True,False,False,False,True,True,False,False
2572,2573,I could n't go to Akita to enjoy them but I watched TV .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,TV,concr,concr,no_mod,1,False,True,False,False,False,False,True,True,False,False
2573,2574,As of yet I have n't seen the fireworks neither TV nor real one .,obl,correct,correct_the,correct_art,def,nonspec,situational,fireworks,concr,concr,no_mod,1,True,False,False,False,False,False,False,True,False,False
2574,2575,Becuase they are so beautiful with beautiul music .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,music,concr,concr,mod,1,False,True,False,False,False,False,False,True,False,False
2575,2576,"In the train , a high school student sit down on a chair .",obl,correct,correct_the,correct_art,def,spec,situational,train,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
2576,2577,"In the train , a high school student sit down on a chair .",obl,correct,correct_a,correct_art,indef,spec,indef,student,concr,concr,no_mod,1,False,False,False,False,False,False,True,False,False,True
2577,2578,"In the train , a high school student sit down on a chair .",obl,correct,correct_a,correct_art,indef,nonspec,indef,chair,concr,concr,no_mod,1,False,False,False,False,False,False,True,True,False,False
2579,2580,"In front of him , an elderly woman appeared .",obl_om,correct,correct_zero,correct_om,indef,spec,indef,woman,concr,concr,mod,1,False,True,False,False,False,False,True,False,False,True
2580,2581,"A week later , ahead of elderly man , the student become to sit down without saying anything .",obl_om,correct,correct_zero,correct_om,indef,spec,indef,man,concr,concr,mod,1,False,True,False,False,False,False,True,True,False,False
2581,2582,"A week later , ahead of elderly man , the student become to sit down without saying anything .",obl,correct,correct_the,correct_art,def,spec,anaphoric,student,concr,concr,no_mod,1,True,False,False,False,False,False,True,False,False,True
2582,2583,But you should know there are people who do n't want to be said so .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,people,concr,concr,no_mod,1,False,True,False,False,False,False,False,False,False,True
2583,2584,Women love talking .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,Women,abstr,abstr,no_mod,1,False,True,False,False,False,False,False,False,False,True
2584,2585,My friend and I were going to do the homework after classes .,obl_om,error,over_the,over,def,nonspec,indef,homework,concr,concr,no_mod,0,False,True,False,False,False,False,False,True,False,False
2585,2586,My friend and I were going to do the homework after classes .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,classe,concr,concr,no_mod,1,False,True,False,False,False,False,True,True,False,False
2586,2587,we were doing the homework at the good pace .,obl,correct,correct_the,correct_art,def,spec,indef,homework,concr,concr,no_mod,1,True,False,False,False,False,False,False,True,False,False
2587,2588,we were doing the homework at the good pace .,obl,correct,correct_the,correct_art,def,spec,situational,pace,abstr,abstr,mod,1,True,False,False,False,False,False,False,True,False,False
2589,2590,"and we had not time to do the homework , so we went to each home .",obl,correct,correct_the,correct_art,def,nonspec,indef,homework,concr,concr,no_mod,1,True,False,False,False,False,False,False,True,False,False
2593,2594,"Today , m worked as intern in a small venture company .",obl,correct,correct_a,correct_art,indef,spec,indef,company,concr,concr,mod,1,False,False,False,False,False,False,True,True,False,False
2595,2596,This company deal with some It like business .,obl_om,correct,correct_zero,correct_om,indef,spec,indef,business,abstr,abstr,no_mod,1,False,True,False,False,False,False,False,True,False,False
2596,2597,"And today after the working I had a dinner with my acquaintance , a person who is workin in the famous consulting company accenture .",obl_om,error,over_a,over,indef,spec,indef,dinner,concr,concr,no_mod,0,False,True,False,False,False,False,True,True,False,False
2597,2598,"And today after the working I had a dinner with my acquaintance , a person who is workin in the famous consulting company accenture .",obl,correct,correct_a,correct_art,indef,spec,indef,person,concr,concr,no_mod,1,False,False,False,False,False,False,True,False,True,False
2600,2601,The topic came to the experience I had in my Phillipine trip that I had in this August .,obl,correct,correct_the,correct_art,def,spec,situational,topic,abstr,abstr,no_mod,1,True,False,False,False,False,False,True,False,False,True
2601,2602,"This trip was held by all myself to see the thoroughly different culture and study English , and my trial resulted in success .",obl,correct,correct_the,correct_art,def,spec,indef,culture,abstr,abstr,mod,1,True,False,False,False,False,False,True,True,False,False
2602,2603,"This trip was held by all myself to see the thoroughly different culture and study English , and my trial resulted in success .",obl_om,correct,correct_zero,correct_om,indef,spec,indef,success,abstr,abstr,no_mod,1,False,True,False,False,False,False,False,True,False,False
2603,2604,I could experienced precious time .,obl,error,omit_a,omit,indef,nonspec,indef,experience,abstr,abstr,mod,0,False,False,False,False,False,False,True,True,False,False
2604,2605,"And as I talked about that topic , I do n't know why , but I noticed tears in my eyes .",obl_om,correct,correct_zero,correct_om,indef,spec,indef,tears,concr,concr,no_mod,1,False,True,False,False,False,True,False,True,False,False
2605,2606,"I thought I want to heartily changed this situation , people who naturally did n't do anything wrong .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,people,concr,concr,no_mod,1,False,True,False,False,False,False,False,True,False,False
2606,2607,"From the angle where I was seated , I could see Yossy and behind her the gloomy , stormy weather in Tokyo through the window , but could n't hear any sounds of the rain or thunder .",obl,correct,correct_the,correct_art,def,spec,explanatory,angle,abstr,abstr,no_mod,1,True,False,False,False,False,False,True,True,False,False
2607,2608,"From the angle where I was seated , I could see Yossy and behind her the gloomy , stormy weather in Tokyo through the window , but could n't hear any sounds of the rain or thunder .",obl,correct,correct_the,correct_art,def,spec,situational,window,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
2608,2609,"From the angle where I was seated , I could see Yossy and behind her the gloomy , stormy weather in Tokyo through the window , but could n't hear any sounds of the rain or thunder .",obl,correct,correct_the,correct_art,def,spec,indef,weather,concr,concr,mod,1,True,False,False,False,False,False,True,False,True,False
2610,2611,"If you had stood next to the sliding door of the room hearing what was being talked inside , you might have heard intermittet laughing sounds made by a female , and monotonous , enthusiastic talks by a male , which might have gave you an impression ; the atmosphere was not too bad , or too good either .",obl,correct,correct_the,correct_art,def,spec,explanatory,door,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
2611,2612,"If you had stood next to the sliding door of the room hearing what was being talked inside , you might have heard intermittet laughing sounds made by a female , and monotonous , enthusiastic talks by a male , which might have gave you an impression ; the atmosphere was not too bad , or too good either .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,sounds,concr,concr,mod,1,False,True,False,False,False,True,False,True,False,False
2612,2613,"If you had stood next to the sliding door of the room hearing what was being talked inside , you might have heard intermittet laughing sounds made by a female , and monotonous , enthusiastic talks by a male , which might have gave you an impression ; the atmosphere was not too bad , or too good either .",obl_om,correct,correct_zero,correct_om,indef,spec,indef,impression,abstr,abstr,no_mod,1,False,True,False,False,False,False,True,True,False,False
2613,2614,"If you had stood next to the sliding door of the room hearing what was being talked inside , you might have heard intermittet laughing sounds made by a female , and monotonous , enthusiastic talks by a male , which might have gave you an impression ; the atmosphere was not too bad , or too good either .",obl,correct,correct_the,correct_art,def,spec,situational,atmosphere,concr,concr,no_mod,1,True,False,False,False,False,False,True,False,False,True
2620,2621,"I have practical training for three days , the company 's dorm have wireless web .",obl_om,correct,correct_zero,correct_om,indef,spec,indef,training,abstr,abstr,mod,1,False,True,False,True,False,False,False,True,False,False
2623,2624,"I ca n't surf the internet at the first day , so I am very sad , because I surf the internet mostly every day .",obl,correct,correct_the,correct_art,def,nonspec,situational,day,concr,concr,mod,1,True,False,False,True,False,False,True,True,False,False
2626,2627,"But today , I can surf the internet , I am very glad , so I like the company more than before !",obl,correct,correct_the,correct_art,def,spec,anaphoric,company,concr,concr,no_mod,1,True,False,False,True,False,False,True,True,False,False
2627,2628,"Recently , high - speed train accident occurred in China .",obl,error,omit_a,omit,indef,spec,situational,accident,concr,concr,no_mod,0,False,False,False,False,False,False,True,False,False,True
2629,2630,"So , I want to see the world is still .",obl,correct,correct_the,correct_art,def,spec,situational,world,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
2631,2632,"At that time I did n't know how to eat them , so I poured milk over them , which did n't taste very well .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,milk,concr,concr,no_mod,1,False,True,False,False,False,False,False,True,False,False
2639,2640,In the next morning I had it with fruits jam .,obl_om,correct,correct_zero,correct_om,indef,spec,indef,jam,concr,concr,no_mod,1,False,True,False,False,False,False,True,True,False,False
2641,2642,"Instead , I 've watched powerful harassment like `` you 're incompintent ! `` or `` we do n't afford to pay dude like you . `` in order to enforce them early ritirement .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,harassment,abstr,abstr,mod,1,False,True,False,False,False,False,False,True,False,False
2642,2643,"After introducing the performance system to mimic the US , teamwork does not work and we think co - workers as enemies .",obl,correct,correct_the,correct_art,def,nonspec,situational,system,abstr,abstr,no_mod,1,True,False,False,False,False,False,True,True,False,False
2643,2644,"After introducing the performance system to mimic the US , teamwork does not work and we think co - workers as enemies .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,teamwork,abstr,abstr,no_mod,1,False,True,False,False,False,False,False,False,False,True
2644,2645,"After introducing the performance system to mimic the US , teamwork does not work and we think co - workers as enemies .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,workers,concr,concr,no_mod,1,False,True,False,False,False,False,False,True,False,False
2647,2648,"We , however , exploit temporary staff and live in dog - eat - dog world .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,staff,concr,concr,mod,1,False,True,False,False,False,False,False,True,False,False
2648,2649,"We , however , exploit temporary staff and live in dog - eat - dog world .",obl,error,omit_a,omit,indef,nonspec,indef,world,concr,concr,no_mod,0,False,False,False,False,False,False,True,True,False,False
2649,2650,Luckly I have a job and depenadable payment .,obl,correct,correct_a,correct_art,indef,spec,indef,job,concr,concr,no_mod,1,False,False,False,False,False,False,True,True,False,False
2650,2651,helpless when my colleague left the office .,obl,correct,correct_the,correct_art,def,spec,situational,office,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
2654,2655,"We just know `` Kiss Kiss Kiss `` , so you can see cute and classy Japanese girls have usernames include `` xxx `` on twitter !",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,girls,concr,concr,mod,1,False,True,False,False,False,False,False,False,False,True
2660,2661,I do n't know exactly what time they go back to home because I 'm first three people to leave office .,obl,error,omit_the,omit,indef,nonspec,situational,office,concr,concr,no_mod,0,True,False,False,False,False,False,True,True,False,False
2661,2662,I usually leave office around 7 : 30 .,obl,error,omit_the,omit,indef,nonspec,situational,office,concr,concr,no_mod,0,True,False,False,False,False,False,True,True,False,False
2662,2663,But It 's awkward to leave office to 7 while other are working silently . . .,obl_om,correct,correct_zero,correct_om,indef,nonspec,situational,office,concr,concr,no_mod,1,False,True,False,False,False,False,True,True,False,False
2664,2665,One of my friends on skype told me that all you have to do is concetrate on the exam and relax .,obl,correct,correct_the,correct_art,def,nonspec,situational,exam,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
2665,2666,"Certainly , To relax is necessary to get a high score .",obl,correct,correct_a,correct_art,indef,nonspec,indef,score,concr,concr,mod,1,False,False,False,False,False,False,True,True,False,False
2667,2668,I do n't think very much that bussiness English must be needed to communicate with foreign people .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,people,concr,concr,mod,1,False,True,False,False,False,False,False,True,False,False
2668,2669,Two weeks ago I bought a new portable DVD player that is region free at an online - shop .,obl,correct,correct_a,correct_art,indef,spec,indef,player,concr,concr,mod,1,False,False,False,False,False,False,True,True,False,False
2672,2673,"After I looked for why I can not watch some of them , I discovered there are some DVDs that is difficult to recognize the region cord with a region free DVD player .",obl,correct,correct_a,correct_art,indef,nonspec,indef,player,concr,concr,mod,1,False,False,False,False,False,False,True,True,False,False
2675,2676,I hope I will be able to buy a good one with a good price .,obl,correct,correct_a,correct_art,indef,nonspec,indef,price,concr,concr,mod,1,False,False,False,False,False,False,True,True,False,False
2676,2677,"When I speak Englsh , though It is n't perfect sentence , a native speaker can understand what I mean .",obl,correct,correct_a,correct_art,indef,nonspec,indef,speaker,concr,concr,mod,1,False,False,True,False,False,False,True,False,False,True
2681,2682,"I heard about Sookmyung university TESOL course is linked foreign university , so after finish the course I hope to study going in foreign university .",obl,correct,correct_the,correct_art,def,spec,anaphoric,course,concr,concr,no_mod,1,True,False,True,False,False,False,True,True,False,False
2684,2685,"As an English learner , I felt the English education in Korea was not effective .",obl,correct,correct_the,correct_art,def,spec,explanatory,education,abstr,abstr,mod,1,True,False,True,False,False,False,False,False,False,True
2685,2686,"Through the TESOL course , I hope to improve myself as the good English teacher .",obl,correct,correct_the,correct_art,def,spec,situational,course,concr,concr,no_mod,1,True,False,True,False,False,False,True,True,False,False
2687,2688,After finish the course I will practice what I learned in Kindergarten and if the chance comes to me I want to go to graduate school .,obl,correct,correct_the,correct_art,def,spec,explanatory,course,concr,concr,no_mod,1,True,False,True,False,False,False,True,True,False,False
2688,2689,After finish the course I will practice what I learned in Kindergarten and if the chance comes to me I want to go to graduate school .,obl,correct,correct_the,correct_art,def,spec,situational,chance,abstr,abstr,no_mod,1,True,False,True,False,False,False,True,False,False,True
